,Event Title,Artists,Price,Time,Venue
0,10月17日 北京麦田音乐节,艺人：秘密行动乐队/孤独的利里_LonelyLeary/谢帝/白皮书/Dr.Paper国蛋/薛之谦/沉默演讲 SilentSpeech/花墙FancyWall/徐秉龙/丹镇北京Dungeon Beijing/泥鳅Zinco/艾瑞欧ERIOE/某幻君/JoZ张哲瑜/K.ila,价格：¥388起,时间：2021/10/17 12:30,[北京]温榆河公园朝阳示范区西园
1,1701｜他方世界 「透气」2021 巡演 北京站,艺人：他方世界,价格：¥100,时间：2021/10/17 20:30,[北京]疆进酒·OMNI SPACE
2,XIAN乐计划Vol.25 | POST-X重启之夜,艺人：Kenja Time乐队/The Clinic（克林尼克）,价格：¥99起,时间：2021/10/20 20:00,[北京]疆进酒·OMNI SPACE
3,【秋天虫虫虫】悶饼+海德薇+梅西合唱团,艺人：悶餅Moonband/海德薇乐队The HeDwiG/The Messy梅西合唱团,价格：¥139起,时间：2021/10/23 20:00,[北京]北京 MAO Livehouse
4,予约——时过夏末2021巡演 北京站,艺人：时过夏末,价格：¥120起,时间：2021/10/23 20:30,[北京]WeShow Live
5,寸铁巡演 北京站,艺人：寸铁,价格：¥250,时间：2021/10/23 20:30,[北京]糖果LIVE三层
6,|休息一夏呈现|【今宵多珍重】孤独的利里/退格/披萨脸,艺人：孤独的利里_LonelyLeary/退格/Pizzaface披萨脸,价格：¥130起,时间：2021/10/24 20:00,[北京]北京 MAO Livehouse
7,【百万厂牌呈现】「潜入银河的浪漫」全场酒水畅饮 | 洗浴时间，星号69，失浪潮，水母乐队,艺人：水母乐队/失浪潮（LostWave）/星号69/洗浴时间,价格：¥109起,时间：2021/10/27 20:00,[北京]北京 MAO Livehouse
8,[全场畅饮] 万圣节魔仙堡「僵心比心」变装派对 19:00场 北京站,艺人：拉披（Larry's Pizza）/自画像乐队/化骨龙乐队,价格：¥180起,时间：2021/10/30 19:00,[北京]北京 MAO Livehouse
9,[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 北京站,艺人：灵魂伴侣/空心电台 Null Radio/missmix组合,价格：¥180起,时间：2021/10/31 21:00,[北京]北京 MAO Livehouse
10,潮池蓝「深夜出走」2021巡演 北京站,艺人：潮池蓝,价格：¥80起,时间：2021/11/05 20:30,[北京]北京 MAO Livehouse
11,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,艺人：时光胶囊 TimeCapsule/结冰水/春日玫瑰(Spring Roses)/梯雲縱CloudJumpper,价格：¥129起,时间：2021/11/06 14:30,[北京]北京 MAO Livehouse
12,枕边海浪 PillowWavesVOL.2  悶餅MOONBAND  ✖️ 靴腿THE BOOTLEGS ✖️ ICU（I'll call you.）✖️ 桶桶barrel barrel,艺人：悶餅Moonband/桶桶(barrel barrel)/I'll call you./THE BOOTLEGS靴腿乐队,价格：¥180起,时间：2021/11/11 20:00,[北京]疆进酒·OMNI SPACE
13, 【飞狗诚献】「逃离孤独星球」全场酒水畅饮,艺人：The Twenties/八仙饭店/飞椒乐队 The Peppercorns/二向箔,价格：¥119起,时间：2021/11/12 20:00,[北京]北京 MAO Livehouse
14,【继续冲浪】脆莓+跳大海+香蕉俱乐部+XX,艺人：神秘嘉宾/脆莓Brickleberry/跳大海/香蕉俱乐部,价格：¥179起,时间：2021/11/13 19:30,[北京]北京 MAO Livehouse
15,A公馆+自画像 無人驾驶 联合专场,艺人：A公馆/自画像乐队,价格：¥90起,时间：2021/11/14 19:30,[北京]北京 MAO Livehouse
16,角斗：脏手指X假假條 双专场,艺人：假假條/脏手指 Oh! Dirty Fingers,价格：¥180,时间：2022/01/09 20:30,[北京]疆进酒·OMNI SPACE
